# RLEdb
# Citation : Zhao, M., Chen, X., Gao, G. et al. RLEdb: a database of rate-limiting enzymes and their regulation in human, rat, mouse, yeast and E. coli. Cell Res 19, 793–795 (2009). https://doi.org/10.1038/cr.2009.61

A2M	A2MD|CPAMD5|FWP007|S863-7
ASMT	ASMTY|HIOMT|HIOMTY
ASNS	ASNSD|TS11
ASPA	ACY2|ASP
ASS1	ASS|CTLN1
ATIC	AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH
ATP5A1	ATP5A|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1
ALDH7A1	ATQ1|EPD|PDE
ATP5B	ATPMB|ATPSB|HEL-S-271
ATP5G1	ATP5A|ATP5G
AUH	-
BAAT	BACAT|BAT
BCAT1	BCATC|BCT1|ECA39|MECA39|PNAS121|PP18
BCAT2	BCAM|BCATM|BCT2|PP18
BCKDHA	BCKDE1A|MSU|MSUD1|OVD1A
BCKDHB	E1B|dJ279A18.1
BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS
BDH1	BDH|SDR9C1
BGN	DSPG1|PG-S1|PGI|SLRR1A
BHMT	BHMT1|HEL-S-61p
BLVRA	BLVR|BVR|BVRA
BLVRB	BVRB|FLR|HEL-S-10|SDR43U1
BMP1	OI13|PCOLC|PCP|PCP2|TLD
POLR3D	BN51T|RPC4|RPC53|TSBN51
BPGM	DPGM
ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1
BSG	5F7|CD147|EMMPRIN|M6|OK|TCSF
BST1	CD157
CA1	CA-I|CAB|Car1|HEL-S-11
CA2	CA-II|CAC|CAII|Car2|HEL-76
CA3	CAIII|Car3
CA4	CAIV|Car4|RP17
CA5A	CA5|CA5AD|CAV|CAVA
CA6	CA-VI|GUSTIN
CA7	CAVII
CA8	CA-VIII|CALS|CAMRQ3|CARP
CA9	CAIX|MN
CA12	CAXII|HsT18816
CACNA1A	APCA|BI|CACNL1A4|CAV2.1|EA2|FHM|HPCA|MHP|MHP1|SCA6
CACNB2	CACNLB2|CAVB2|MYSB
CACNB3	CAB3|CACNLB3
SLC25A20	CAC|CACT
CAD	-
